日期,收盘价
20160429,1292.82
20160502,1291.05
20160503,1285.89
20160504,1279.39
20160505,1277.9
20160506,1288.1
20160509,1263.44
20160510,1265.19
20160511,1276.89
20160512,1262.89
20160513,1272.63
20160516,1273.49
20160517,1278.89
20160518,1258.48
20160519,1254.19
20160520,1251.91
20160523,1248.84
20160524,1226.59
20160525,1224.19
20160526,1219.75
20160527,1212.71
20160530,1205
20160531,1214.99
20160601,1212.09
20160602,1210.59
20160603,1243.86
20160606,1244.98
20160607,1243.29
20160608,1262.28
20160609,1269.09
20160610,1273.55
20160613,1283.09
20160614,1285.33
20160615,1291.29
20160616,1277.11
20160617,1298.31
20160620,1289.59
20160621,1267.82
20160622,1265.79
20160623,1256.2
20160624,1315.27
20160627,1324.39
20160628,1311.98
20160629,1318.09
20160630,1321.53
20160701,1341.42
20160704,1350.54
20160705,1355.91
20160706,1363.48
20160707,1360.04
20160708,1365.88
20160711,1355.19
20160712,1332.29
20160713,1342.24
20160714,1334.57
20160715,1337.22
20160718,1328.78
20160719,1331.78
20160720,1315.29
20160721,1330.78
20160722,1321.94
20160725,1315.28
20160726,1320.19
20160727,1339.54
20160728,1335.09
20160729,1350.42
20160801,1352.67
20160802,1363.59
20160803,1357.59
20160804,1361.19
20160805,1335.42
20160808,1335.19
20160809,1340.28
20160810,1346.09
20160811,1338.19
20160812,1335.56
20160815,1338.89
20160816,1345.69
20160817,1348.39
20160818,1352.97
20160819,1340.94
20160822,1338.68
20160823,1337.09
20160824,1323.78
20160825,1321.48
20160826,1320.62
20160829,1322.69
20160830,1310.48
20160831,1308.64
20160901,1313.09
20160902,1324.81
20160905,1327.07
20160906,1349.78
20160907,1344.47
20160908,1337.49
20160909,1327.52
20160912,1327.19
20160913,1318.09
20160914,1322.59
20160915,1313.99
20160916,1309.89
20160919,1312.91
20160920,1314.48
20160921,1335.17
20160922,1336.59
20160923,1337.35
20160926,1337.39
20160927,1327.09
20160928,1321.14
20160929,1320.15
20160930,1315.61
20161003,1311.47
20161004,1268.19
20161005,1267.26
20161006,1254
20161007,1256.8
20161010,1259.42
20161011,1252.1
20161012,1254.79
20161013,1257.29
20161014,1250.03
20161017,1254.92
20161018,1262.19
20161019,1268.98
20161020,1264.19
20161021,1265.79
20161024,1263.99
20161025,1273.49
20161026,1266.59
20161027,1268.09
20161028,1275.58
20161031,1276.79
20161101,1287.78
20161102,1296.73
20161103,1301.49
20161104,1304.06
20161107,1281.37
20161108,1275.21
20161109,1277.73
20161110,1258.59
20161111,1227
20161114,1220.92
20161115,1228.42
20161116,1224.91
20161117,1216.15
20161118,1208.25
20161122,1212.05
20161123,1187.82
20161124,1183.82
20161125,1183.8
20161128,1193.51
20161129,1187.88
20161130,1173.07
20161201,1171.53
20161202,1177.01
20161205,1170.02
20161206,1169.47
20161207,1173.45
20161208,1170.42
20161209,1159.45
20161212,1162.17
20161213,1157.98
20161214,1142.88
20161215,1128.14
20161216,1134.61
20161219,1137.98
20161220,1132.16
20161221,1131.29
20161222,1127.98
20161223,1133.26
20161227,1138.49
20161228,1141.23
20161229,1157.77
20161230,1151.22
20170103,1158.52
20170104,1163.16
20170105,1180.04
20170106,1173.27
20170109,1180.73
20170110,1187.1
20170111,1191.23
20170112,1195.1
20170113,1197.18
20170116,1202.46
20170117,1216.69
20170118,1203.91
20170119,1204.51
20170120,1208.79
20170123,1217.83
20170124,1208.68
20170125,1200.34
20170126,1188.29
20170127,1190.91
20170130,1195.3
20170131,1210.47
20170201,1209.4
20170202,1215.58
20170203,1220.13
20170206,1235.18
20170207,1233.64
20170208,1241.28
20170209,1228.18
20170210,1233.53
20170213,1225.13
20170214,1228.07
20170215,1233.45
20170216,1238.88
20170217,1234.37
20170220,1237.51
20170221,1235.57
20170222,1237.34
20170223,1249.17
20170224,1256.83
20170227,1252.61
20170228,1248.16
20170301,1249.28
20170302,1234.11
20170303,1234.38
20170306,1225.16
20170307,1215.61
20170308,1208.08
20170309,1200.94
20170310,1204.59
20170313,1203.69
20170314,1197.8
20170315,1219.09
20170316,1226
20170317,1228.7
20170320,1233.58
20170321,1244.09
20170322,1248
20170323,1245.09
20170324,1243.14
20170327,1253.99
20170328,1251.19
20170329,1253.08
20170330,1242.89
20170331,1248.82
20170403,1252.98
20170404,1255.69
20170405,1255.28
20170406,1251.78
20170407,1253.76
20170410,1254.74
20170411,1273.99
20170412,1286.19
20170413,1286.89
20170414,1286.6
20170417,1284.48
20170418,1289.39
20170419,1279.59
20170420,1281.42
20170421,1284.07
20170424,1275.57
20170425,1263.84
20170426,1268.97
20170427,1263.89
20170428,1267.77
20170501,1256.09
20170502,1256.29
20170503,1236.9
20170504,1227.23
20170505,1228.02
20170508,1225.98
20170509,1220.69
20170510,1218.59
20170511,1224.39
20170512,1227.96
20170515,1229.79
20170516,1236.59
20170517,1260.89
20170518,1245.94
20170519,1255.21
20170522,1260.28
20170523,1250.69
20170524,1258.14
20170525,1255.29
20170526,1266.74
20170529,1266.41
20170530,1262.78
20170531,1268.59
20170601,1265.19
20170602,1278.71
20170605,1279.09
20170606,1294.15
20170607,1286.66
20170608,1278.08
20170609,1266.15
20170612,1265.69
20170613,1266.27
20170614,1260.53
20170615,1253.78
20170616,1253.61
20170619,1243.38
20170620,1242.73
20170621,1246.09
20170622,1250.08
20170623,1256.47
20170626,1244.1
20170627,1246.59
20170628,1248.79
20170629,1245.38
20170630,1241.29
